_id,sid_comment,star,time,comment
,284,3,,第284篇評論找不到，得用RAWDATA回溯
,285,5,,第285篇評論找不到，得用RAWDATA回溯
,286,5,,第286篇評論找不到，得用RAWDATA回溯
,287,2,,第287篇評論找不到，得用RAWDATA回溯
,288,3,,第288篇評論找不到，得用RAWDATA回溯
,289,3,,第289篇評論找不到，得用RAWDATA回溯
,290,4,,第290篇評論找不到，得用RAWDATA回溯
,291,3,,第291篇評論找不到，得用RAWDATA回溯
,292,5,,第292篇評論找不到，得用RAWDATA回溯
,293,3,,第293篇評論找不到，得用RAWDATA回溯
,294,3,,第294篇評論找不到，得用RAWDATA回溯
,295,3,,第295篇評論找不到，得用RAWDATA回溯
,296,4,,第296篇評論找不到，得用RAWDATA回溯
,297,5,,第297篇評論找不到，得用RAWDATA回溯
,298,5,,第298篇評論找不到，得用RAWDATA回溯
,299,5,,第299篇評論找不到，得用RAWDATA回溯
,300,5,,第300篇評論找不到，得用RAWDATA回溯
,301,4,,第301篇評論找不到，得用RAWDATA回溯
,302,4,,第302篇評論找不到，得用RAWDATA回溯
,303,5,,第303篇評論找不到，得用RAWDATA回溯
,304,1,,第304篇評論找不到，得用RAWDATA回溯
,305,4,,第305篇評論找不到，得用RAWDATA回溯
,306,2,,第306篇評論找不到，得用RAWDATA回溯
,307,3,,第307篇評論找不到，得用RAWDATA回溯
,308,5,,第308篇評論找不到，得用RAWDATA回溯
,309,5,,第309篇評論找不到，得用RAWDATA回溯
,310,5,,第310篇評論找不到，得用RAWDATA回溯
,311,4,,第311篇評論找不到，得用RAWDATA回溯
,312,5,,第312篇評論找不到，得用RAWDATA回溯
,313,3,,第313篇評論找不到，得用RAWDATA回溯
,314,3,,第314篇評論找不到，得用RAWDATA回溯
,315,2,,第315篇評論找不到，得用RAWDATA回溯
,316,5,,第316篇評論找不到，得用RAWDATA回溯
,317,5,,第317篇評論找不到，得用RAWDATA回溯
,318,4,,第318篇評論找不到，得用RAWDATA回溯
,319,5,,第319篇評論找不到，得用RAWDATA回溯
,320,4,,第320篇評論找不到，得用RAWDATA回溯
,321,5,,第321篇評論找不到，得用RAWDATA回溯
,322,5,,第322篇評論找不到，得用RAWDATA回溯
,323,5,,第323篇評論找不到，得用RAWDATA回溯
,324,1,,第324篇評論找不到，得用RAWDATA回溯
,325,4,,第325篇評論找不到，得用RAWDATA回溯
,326,4,,第326篇評論找不到，得用RAWDATA回溯
,327,5,,第327篇評論找不到，得用RAWDATA回溯
,328,2,,第328篇評論找不到，得用RAWDATA回溯
,329,2,,第329篇評論找不到，得用RAWDATA回溯
,330,4,,第330篇評論找不到，得用RAWDATA回溯
,331,1,,第331篇評論找不到，得用RAWDATA回溯
,332,5,,第332篇評論找不到，得用RAWDATA回溯
,333,4,,第333篇評論找不到，得用RAWDATA回溯
,334,4,,第334篇評論找不到，得用RAWDATA回溯
,335,2,,第335篇評論找不到，得用RAWDATA回溯
,336,1,,第336篇評論找不到，得用RAWDATA回溯
,337,4,,第337篇評論找不到，得用RAWDATA回溯
,338,3,,第338篇評論找不到，得用RAWDATA回溯
,339,5,,第339篇評論找不到，得用RAWDATA回溯
,340,4,,第340篇評論找不到，得用RAWDATA回溯
,341,5,,第341篇評論找不到，得用RAWDATA回溯
,342,2,,第342篇評論找不到，得用RAWDATA回溯
,343,5,,第343篇評論找不到，得用RAWDATA回溯
,344,5,,第344篇評論找不到，得用RAWDATA回溯
,345,4,,第345篇評論找不到，得用RAWDATA回溯
,346,5,,第346篇評論找不到，得用RAWDATA回溯
,347,3,,第347篇評論找不到，得用RAWDATA回溯
,348,4,,第348篇評論找不到，得用RAWDATA回溯
,349,2,,第349篇評論找不到，得用RAWDATA回溯
,350,3,,第350篇評論找不到，得用RAWDATA回溯
,351,1,,第351篇評論找不到，得用RAWDATA回溯
,352,2,,第352篇評論找不到，得用RAWDATA回溯
,353,5,,第353篇評論找不到，得用RAWDATA回溯
,354,4,,第354篇評論找不到，得用RAWDATA回溯
,355,4,,第355篇評論找不到，得用RAWDATA回溯
,356,2,,第356篇評論找不到，得用RAWDATA回溯
,357,3,,第357篇評論找不到，得用RAWDATA回溯
,358,1,,第358篇評論找不到，得用RAWDATA回溯
